vaccine,num_ref_name,num_fold,S,I,R,median_fold,percent
BNT162b2,77,9688,6164,2687,837,2.0,48
AZD1222,15,1527,371,501,655,7.4,7.6
AZD1222 + BNT162b2,3,258,96,39,123,9.0,1.3
Ad26.COV2.S,8,828,431,255,142,2.8499999999999996,4.1
BBIBP-CorV,2,111,91,11,9,1.1,0.55
BBV152,5,449,394,52,3,1.4,2.2
BBV154,1,120,69,24,27,2.25,0.60
CoronaVac,8,1607,801,571,235,3.0,8.0
mRNA-1273,31,4048,2675,1131,242,2.0,20
MVC-COV1901,1,342,230,76,36,1.8,1.7
NVX-CoV2373,2,148,68,46,34,3.3,0.74
Sputnik V,3,464,240,156,68,2.9,2.3
ZF2001,2,56,49,7,0,1.55,0.28
AZD1222 + AZD2816,1,108,14,82,12,4.7,0.54
AZD2816,1,30,10,20,0,5.4,0.15
mRNA-1273 + mRNA-1273.351,1,40,40,0,0,2.75,0.20
mRNA,1,210,90,120,0,3.0,1.0
